Brand,Just Way,Variety,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,Style,Pack,Country,Taiwan,1,1
Brand,Nissin,Variety,Cup Noodles Chicken Vegetable,Style,Cup,Country,USA,2.25,1
Brand,Nissin,Variety,Cup Noodles Chicken Vegetable,Style,Cup,Country,USA,2.25,1
Brand,Wei Lih,Variety,GGE Ramen Snack Tomato Flavor,Style,Pack,Country,Taiwan,2.75,1
Brand,Ching's Secret,Variety,Singapore Curry,Style,Pack,Country,India,3.75,1
Brand,Samyang Foods,Variety,Kimchi song Song Ramen,Style,Pack,Country,South Korea,4.75,1
Brand,Acecook,Variety,Spice Deli Tantan Men With Cilantro,Style,Cup,Country,Japan,4,1
Brand,Ikeda Shoku,Variety,Nabeyaki Kitsune Udon,Style,Tray,Country,Japan,3.75,1
Brand,Ripe'n'Dry,Variety,Hokkaido Soy Sauce Ramen,Style,Pack,Country,Japan,0.25,1
Brand,KOKA,Variety,The Original Spicy Stir-Fried Noodles,Style,Pack,Country,Singapore,2.5,1
Brand,Tao Kae Noi,Variety,Creamy tom Yum Kung Flavour,Style,Pack,Country,Thailand,5,1
Brand,Yamachan,Variety,Yokohama Tonkotsu Shoyu,Style,Pack,Country,USA,5,1
Brand,Nongshim,Variety,Mr. Bibim Stir-Fried Kimchi Flavor,Style,Pack,Country,South Korea,4.25,1
Brand,Nissin,Variety,Deka Buto Kimchi Pork Flavor,Style,Bowl,Country,Japan,4.5,1
Brand,Nissin,Variety,Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle,Style,Pack,Country,Hong Kong,5,1
Brand,KOKA,Variety,Mushroom Flavour Instant Noodles,Style,Cup,Country,Singapore,3.5,1
Brand,TRDP,Variety,Mario Masala Noodles,Style,Pack,Country,India,3.75,1
Brand,Yamachan,Variety,Tokyo Shoyu Ramen,Style,Pack,Country,USA,5,1
Brand,Binh Tay,Variety,Mi Hai Cua,Style,Pack,Country,Vietnam,4,1
Brand,Paldo,Variety,Premium Gomtang,Style,Pack,Country,South Korea,4,1
